Country,Year,GDP_per_capita,Education_Attainment,Life_Expectancy,Unemployment_Rate,Happiness Score
cote d'ivoire,2023,2530.84659301723,,,2.27,5.08
croatia,2015,12285.3032582105,15.3868761062622,77.2756097560976,16.175,5.488
croatia,2016,12821.1738140304,16.0571804046631,78.0219512195122,13.103,5.293
croatia,2017,13902.6310485422,16.9888916015625,77.8268292682927,11.208,5.321
croatia,2018,15460.4183295843,18.0253562927246,78.0707317073171,8.432,5.432
croatia,2019,15563.8167397199,18.0067329406738,78.4243902439025,6.617,5.50470018386841
croatia,2020,14808.4620188819,18.9136714935303,77.7243902439024,7.507,5.882
croatia,2021,17789.9304736722,18.9514045715332,76.4243902439025,7.608,6.125
croatia,2022,18466.0955472648,19.0439777374268,77.5756097560976,6.96,6.125
croatia,2023,21865.4562838641,,78.6,6.086,5.942
cyprus,2015,23487.228515625,25.5499992370605,80.966,15.026,5.6585
cyprus,2016,24715.154296875,26.6200008392334,81.056,13.006,5.7155000000000005
cyprus,2017,26696.990234375,27.1771392822266,81.328,11.155,5.7985
cyprus,2018,29599.986328125,28.5599994659424,81.382,8.504,5.882
cyprus,2019,29703.052734375,28.8715553283691,81.397,7.155,5.84724998474121
cyprus,2020,28649.015625,29.7999992370605,81.391,7.755,5.8795
cyprus,2021,33734.29296875,31.7849750518799,81.203,7.513,5.843999999999999
cyprus,2022,33938.9453125,33.1645622253418,81.889,6.806,6.13
cyprus,2023,36551.41796875,,,6.098,6.068
czechia,2015,17931.5987670768,19.3400001525879,78.5780487804878,5.048,6.596
czechia,2016,18753.9686718096,20.0799999237061,79.0268292682927,3.952,6.609
czechia,2017,20913.197632212,20.7299995422363,78.9780487804878,2.893,6.711
czechia,2018,23705.9329811299,21.0019187927246,79.0292682926829,2.246,6.852
czechia,2019,24062.7190013343,20.9099998474121,79.2292682926829,2.015,6.9109001159668
czechia,2020,23472.8915454417,21.3851680755615,78.1756097560976,2.55,6.965
czechia,2021,27696.4619527544,22.8479957580566,77.2219512195122,2.803,6.92
czechia,2022,28282.2236715857,20.9734058380127,79.0292682926829,2.224,6.845
czechia,2023,31591.1770732969,,80.0,2.579,6.822
denmark,2015,53094.0133607574,30.3799991607666,80.7024390243902,6.278,7.526
denmark,2016,54500.9260410217,30.9799995422363,80.8536585365854,5.989,7.522
denmark,2017,57521.5514992225,29.7281112670898,81.1024390243903,5.833,7.555
denmark,2018,61324.7665045565,32.3600006103516,80.9536585365854,5.131,7.6
denmark,2019,59404.2663247723,31.120885848999,81.4512195121951,5.018,7.64559984207153
denmark,2020,60985.4885601514,33.0900001525879,81.6024390243903,5.637,7.62
denmark,2021,69727.9873677012,32.452018737793,81.4048780487805,5.043,7.636
denmark,2022,68091.3191138669,32.7245712280273,81.3048780487805,4.434,7.586
denmark,2023,68453.8769281145,,81.9,5.094,7.583
dominican republic,2015,6819.93225155181,11.742317199707,72.953,7.605,5.155
dominican republic,2016,7174.82349574,18.1200008392334,72.987,7.284,5.23
dominican republic,2017,7499.69286187019,11.7243194580078,73.063,5.832,5.302
dominican republic,2018,7934.98141208525,12.7266597747803,73.232,5.861,5.425
dominican republic,2019,8164.22080932117,14.3608598709106,73.577,6.356,5.68919992446899
dominican republic,2020,7162.29175242114,12.8589019775391,72.889,6.126,5.545
dominican republic,2021,8472.47982000992,12.9000816345215,72.615,7.702,5.737
dominican republic,2022,10109.5234003521,17.6953067779541,74.17,5.504,5.569
dominican republic,2023,10717.6276712204,18.7137393951416,,5.555,5.823
ecuador,2015,5976.1596805651,12.0799999237061,76.789,3.616,5.976
ecuador,2016,5917.63771271481,11.7200002670288,76.763,4.597,6.008
ecuador,2017,6233.32244797718,12.1599998474121,76.972,3.836,5.973
ecuador,2018,6303.91892523596,,77.094,3.53,6.028
ecuador,2019,6205.05759479761,,77.297,3.812,5.92519998550415
ecuador,2020,5463.64509649315,11.9399995803833,72.153,6.127,5.764
ecuador,2021,6075.8026572556,12.3999996185303,73.67,4.552,5.533
ecuador,2022,6540.99824522101,12.1300001144409,77.894,3.761,5.559
ecuador,2023,6609.80408154957,,,3.51,5.725
"egypt, arab rep.",2015,3306.98159414141,,70.483,13.052,4.362
"egypt, arab rep.",2016,3270.6287768197,,70.844,12.45,4.735
"egypt, arab rep.",2017,2395.10333299491,6.17000007629395,71.302,11.767,4.419
"egypt, arab rep.",2018,2484.70315630508,,71.367,9.855,4.166
"egypt, arab rep.",2019,2962.98892023003,,71.358,7.851,4.15140008926392
"egypt, arab rep.",2020,3511.11381026379,0.0,70.99,7.974,4.283
"egypt, arab rep.",2021,3827.35415374308,0.0,70.221,7.441,4.288
"egypt, arab rep.",2022,4233.30783744856,,70.159,7.344,4.17
"egypt, arab rep.",2023,3457.45691570455,,,7.334,3.977
el salvador,2015,3790.34089108162,,71.814,3.998,6.068
el salvador,2016,3901.34014965811,7.11999988555908,72.025,4.418,6.003
el salvador,2017,4020.12671373919,6.67000007629395,72.311,4.385,6.167
el salvador,2018,4183.54620971358,,72.555,4.006,6.253
el salvador,2019,4320.11671534627,8.34000015258789,72.559,4.17,6.34829998016357
el salvador,2020,3997.19279583709,8.43000030517578,71.061,5.008,6.061
el salvador,2021,4642.60743101342,,70.748,4.327,6.12
el salvador,2022,5093.51833879776,,71.475,2.999,6.122
el salvador,2023,5391.06926181338,7.26999998092651,,2.992,6.469
estonia,2015,17722.1557669523,29.775821685791,77.590243902439,6.412,5.517
estonia,2016,18666.3736521706,30.4089946746826,77.6414634146342,6.882,5.611
estonia,2017,20851.5223496861,31.720100402832,78.0926829268293,5.807,5.739
estonia,2018,23618.1361254581,33.57568359375,78.2439024390244,5.412,5.893
estonia,2019,24021.2501413306,33.4643707275391,78.6463414634147,4.514,6.02180004119873
estonia,2020,23933.9939421065,30.8500003814697,78.5951219512195,6.956,6.189
estonia,2021,27953.7670230126,31.7315711975098,76.9439024390244,6.178,6.341
estonia,2022,28451.1477825175,32.6602210998535,77.9439024390244,5.571,6.455
estonia,2023,30133.304450454,,78.8,6.378,6.448
eswatini,2018,3986.10557163026,,59.411,26.369,4.212
eswatini,2019,3894.32951592818,,60.549,28.138,4.30810022354126
eswatini,2020,3442.3216527415,,59.692,32.944,4.308
eswatini,2021,3926.48687364215,14.4894857406616,57.066,34.153,4.396
eswatini,2023,3610.60879677551,18.2514572143555,,35.086,3.502
ethiopia,2015,621.845673808133,,63.649,2.443,4.508
ethiopia,2016,696.195884706786,1.33300995826721,64.392,2.554,4.46
ethiopia,2017,745.632449222154,,64.838,2.662,4.35
ethiopia,2018,747.968143637014,,65.412,2.802,4.286
ethiopia,2019,828.70897229725,,65.838,2.917,4.18620014190674
ethiopia,2020,905.313175805855,,65.371,3.994,4.275
ethiopia,2021,910.947840320752,6.28919649124146,64.975,3.935,4.241
ethiopia,2022,1011.0732858233,,65.645,3.409,4.091
ethiopia,2023,1272.01628209211,,,3.402,3.861
finland,2015,42560.3456767103,23.0300006866455,81.4804878048781,9.376,7.413
finland,2016,43451.2562442158,25.4359493255615,81.4292682926829,8.818,7.469
finland,2017,46085.0174739036,24.3400001525879,81.6317073170732,8.64,7.632
finland,2018,49654.2497035329,27.8136768341064,81.7341463414634,7.361,7.769
finland,2019,48358.1807773701,25.9400005340576,81.9829268292683,6.695,7.80870008468628
finland,2020,48828.6846862799,30.9471302032471,81.9317073170732,7.759,7.842
finland,2021,53099.1351400148,28.2076778411865,81.8853658536585,7.617,7.821
