Year,Country,GDP_per_capita,Education_Attainment,Life_Expectancy,Unemployment_Rate,Happiness Score
2020,Bulgaria,10198.5388313404,26.0499992370605,73.6585365853659,5.125,5.266
2019,Bulgaria,9838.60058985384,25.1552085876465,75.1121951219512,4.23,5.10150003433228
2018,Bulgaria,9436.14479876055,25.113618850708,74.9634146341464,5.211,5.011
2017,Bulgaria,8381.88134621669,24.7099990844727,74.8146341463415,6.164,4.933
2016,Bulgaria,7570.93165511708,24.6299991607666,74.8121951219512,7.575,4.714
2015,Bulgaria,7078.86032298969,24.4699993133545,74.6146341463415,9.143,4.217
2023,Burkina Faso,882.689810086163,2.29087615013123,72.58098800992877,5.348,4.548
2022,Burkina Faso,836.118304593682,1.9884124994278,59.766,5.389,4.638
2021,Burkina Faso,895.535288442991,2.40341997146606,59.27,5.2,4.67
2020,Burkina Faso,825.237038782475,2.15000009536743,59.731,5.04,4.834
2019,Burkina Faso,764.853077774946,2.11959004402161,60.039,4.71,4.76870012283325
2018,Burkina Faso,777.465618514048,2.15000009536743,60.047,4.695,4.587
2017,Burkina Faso,709.091535894695,2.15000009536743,59.536,4.656,4.424
2016,Burkina Faso,663.742364842886,2.15000009536743,59.326,4.587,4.032
2015,Burkina Faso,630.124750752312,2.15000009536743,58.845,4.461,3.739
2020,Burundi,210.008139902508,0.910000026226044,61.566,1.03,3.775
2019,Burundi,210.236494521532,0.910000026226044,62.351,1.043,3.77530002593994
2018,Burundi,224.89939239264,0.910000026226044,61.688,1.146,3.775
2017,Burundi,236.694472592753,0.910000026226044,61.553,1.247,2.905
2016,Burundi,235.286205393908,0.910000026226044,60.793,1.347,2.905
2015,Burundi,280.966831311923,0.910000026226044,60.217,1.442,2.905
2023,Cambodia,2429.74853452838,4.98367166519165,72.58098800992877,0.225,4.341
2022,Cambodia,2325.03050040841,4.98367166519165,69.896,0.231,4.393
2021,Cambodia,2167.40324198499,4.56162977218628,69.584,0.396,4.64
2020,Cambodia,2081.73914242939,5.9446907043457,70.416,0.172,4.83
2019,Cambodia,2225.87705485686,0.114589996635914,70.692,0.119,4.8484001159668
2018,Cambodia,2036.67377566578,4.98367166519165,70.561,0.13,4.7
2017,Cambodia,1826.35391688754,4.92364501953125,70.515,0.141,4.433
2016,Cambodia,1675.19555711109,6.24475765228271,70.224,0.716,4.168
2015,Cambodia,1547.32010444393,5.04369831085205,69.873,0.393,3.907
2023,Cameroon,1736.86091073524,6.42238998413086,72.58098800992877,3.613,4.874
2022,Cameroon,1604.87726954895,6.42238998413086,60.958,3.653,4.973
2021,Cameroon,1672.32657340872,6.42238998413086,60.333,3.973,5.048
2020,Cameroon,1555.60370660749,6.42238998413086,60.833,3.87,5.142
2019,Cameroon,1555.22660476477,6.42238998413086,61.584,3.622,5.08489990234375
2018,Cameroon,1610.69641591017,6.42238998413086,61.18,3.601,5.044
2017,Cameroon,1496.08951771242,6.42238998413086,60.81,3.568,4.975
2016,Cameroon,1441.7201725688,6.42238998413086,60.233,3.528,4.695
2015,Cameroon,1415.00009710569,6.42238998413086,59.658,3.518,4.513
2023,Canada,53431.1857063879,32.88818359375,72.58098800992877,5.415,6.9
2022,Canada,55509.393176404,32.3500862121582,81.2956097560976,5.279,6.961
2021,Canada,52496.8441693242,29.3299999237061,81.5870731707317,7.527,7.025
2020,Canada,43537.839298904,30.970832824707,81.6604878048781,9.657,7.103
2019,Canada,46352.8693445211,29.7712154388428,82.2239024390244,5.69,7.23210000991821
2018,Canada,46539.1761570405,28.5200099945068,81.8439024390244,5.837,7.278
2017,Canada,45129.628116623,27.9425659179688,81.8329268292683,6.426,7.328
2016,Canada,42314.0615817218,25.75,81.9248780487805,7.038,7.316
2015,Canada,43594.1941045394,26.577808380127,81.8156097560976,6.945,7.404
2019,Central African Republic,449.228467602439,1.81203997135162,55.025,5.607,3.47589993476868
2018,Central African Republic,455.243962859534,1.81203997135162,54.369,5.517,3.083
2017,Central African Republic,432.324025684263,1.81203997135162,53.721,5.534,3.083
2016,Central African Republic,387.176203444318,1.81203997135162,53.46,5.491,2.693
2023,Chad,680.639877912029,2.244221568107605,72.58098800992877,1.074,4.471
2022,Chad,671.720147647873,2.244221568107605,52.997,1.096,4.397
2021,Chad,660.747192555507,2.244221568107605,52.525,1.548,4.251
2020,Chad,622.095543396442,2.244221568107605,52.777,1.707,4.355
2019,Chad,678.142035723965,1.75650000572205,53.259,1.084,4.42269992828369
2018,Chad,695.642393675941,2.73194313049316,52.825,1.135,4.35
2017,Chad,640.117048532702,2.244221568107605,52.308,1.116,4.301
2016,Chad,668.078636142918,2.244221568107605,52.083,1.047,3.936
2015,Chad,747.588448455507,2.244221568107605,51.589,0.974,3.763
2023,Chile,17067.8136150601,21.5449905395508,81.4,9.013,6.36
2022,Chile,15451.1319576678,20.2825660705566,79.519,8.249,6.334
2021,Chile,16216.5706467899,19.6066036224365,78.944,9.281,6.172
2020,Chile,13114.815470545,19.1351909637451,79.377,10.934,6.172
2019,Chile,14495.716721687,15.9265537261963,80.326,7.493,6.22849988937378
2018,Chile,15659.4808675628,15.5733489990234,80.133,7.623,6.444
2017,Chile,14879.9086230423,14.6400003433228,80.35,7.257,6.476
2016,Chile,13649.8520455553,13.9364814758301,80.079,6.673,6.652
2015,Chile,13433.9202985339,13.1000003814697,79.746,6.313,6.705
2023,China,12614.0617416421,7.67999982833862,72.58098800992877,4.67,5.973
2022,China,12662.5826712038,7.67999982833862,78.587,4.98,5.818
2021,China,12617.5051041181,7.67999982833862,78.211,4.55,5.585
2020,China,10408.7195541075,7.67999982833862,78.077,5.0,5.339
2019,China,10143.8602206165,7.67999982833862,77.968,4.56,5.12389993667603
